Data_Category,Ministry/Organization,Data_Type,Year,Key_Metric,Value,Status,Source_URL
Ministry of Transportation,Ontario Ministry of Transportation,Walking Pedestrian Rank,2024,City of Waterloo Walking Rank (out of 33 ON communities),#2 (1st = Toronto),Current,https://kitchener.citynews.ca/2025/01/14/waterloo-likes-to-walk-while-cambridge-kitchener-lag-behind/
Ministry of Transportation,Ontario Ministry of Transportation,Walking Weekly Trips,2024,Weekly Walking Trips - City of Waterloo,47710 trips,Current,https://kitchener.citynews.ca/2025/01/14/waterloo-likes-to-walk-while-cambridge-kitchener-lag-behind/
Ministry of Transportation,Ontario Ministry of Transportation,Transit Mode Share,2024,Waterloo Region Transit Use Growth,5.3% baseline 2011,Current,https://www.therecord.com/news/waterloo-region/waterloo-walks-into-the-future-as-driving-eases-cycling-rises-and-transit-stalls/article_562774a3-883e-5252-a694-e56c5eb6b531.html
Placemaking & Livability,BestWR/Future Cities Institute,Vision 1 Million Scorecard,2025,Placemaking Readiness Assessment,Version 1 Released,Current,https://bestwr.org/
Placemaking & Livability,BestWR/Future Cities Institute,Vision 1 Million Scorecard,2025,Overall Region Readiness Status,Not at pace to support growth,Current,https://greaterkwchamber.com/blog/bestwr-version-1-v1m-scorecard/
Public Spaces & Planning,Region of Waterloo,Central Transit Corridor Monitoring,2024,Monitoring Framework Goals,2: Moving People; Building Community,Current,https://www.regionofwaterloo.ca/en/regional-government/resources/LandUse_BuildingActivity/Monitoring_Change_in_the_CTC_2024_Report.pdf
Public Spaces & Planning,Region of Waterloo,CTC Building Permits,2022,Building Permit Value - Record Year,$1.8 billion,Current,https://www.regionofwaterloo.ca/en/regional-government/land-use-planning.aspx
Public Spaces & Planning,Region of Waterloo,CTC Building Permits,2022,Year-over-Year Building Permit Growth,+6% over 2021,Current,https://www.regionofwaterloo.ca/en/regional-government/land-use-planning.aspx
Public Spaces & Planning,Region of Waterloo,CTC Monitoring Indicators,2024,Walkability Indicator,"% population in high/very high walkable areas (data pending)",Tracking,https://www.regionofwaterloo.ca/en/regional-government/resources/LandUse_BuildingActivity/Monitoring_Change_in_the_CTC_2024_Report.pdf
Public Spaces & Planning,Region of Waterloo,CTC Monitoring Indicators,2024,Heritage Resource Retention,"Demolition permits on pre-1920 buildings (tracking)",Tracking,https://www.regionofwaterloo.ca/en/regional-government/resources/LandUse_BuildingActivity/Monitoring_Change_in_the_CTC_2024_Report.pdf
Public Spaces & Planning,Region of Waterloo,CTC Monitoring Indicators,2024,Cultural Vibrancy,"Arts/culture establishments count (data pending)",Pending,https://www.regionofwaterloo.ca/en/regional-government/resources/LandUse_BuildingActivity/Monitoring_Change_in_the_CTC_2024_Report.pdf
Public Spaces & Planning,Region of Waterloo,CTC Monitoring Indicators,2024,Safety Perception,"% perceiving downtowns safe at night (data pending)",Pending,https://www.regionofwaterloo.ca/en/regional-government/resources/LandUse_BuildingActivity/Monitoring_Change_in_the_CTC_2024_Report.pdf
Accessibility,Ministry of Transportation & AODA,Region Accessibility Status Report,2020,Welcoming Spaces Assessment,"Implementation at all public-facing buildings",In Progress,https://www.regionofwaterloo.ca/en/regional-government/resources/COMMUNICATIONS/2020_ROW_Accessibility_Status_Report_FINAL-sACCESS.pdf
Accessibility,City of Waterloo,Multi-Year Accessibility Plan,2025-2030,Plan Horizon,6 years,Current,https://www.waterloo.ca/media/1oilj5s5/accessibility-plan-2025-2030.pdf
Transit Infrastructure,Federal/Provincial/Regional Governments,Public Transit Investment,2025,Kitchener Central Transit Hub Funding,$131 million,Active,https://news.ontario.ca/en/release/1006873/canada-ontario-and-the-region-of-waterloo-invest-in-public-transit-improvements
Transit Infrastructure,Federal/Provincial/Regional Governments,Public Transit Investment,2025,Total Waterloo Region Transit Investment,$291 million,Active,https://news.ontario.ca/en/release/1006873/canada-ontario-and-the-region-of-waterloo-invest-in-public-transit-improvements
Transit Infrastructure,Federal/Provincial/Regional Governments,KCTH Timeline,2024-2025,Design Completion,End of 2024,Scheduled,https://guelph.ctvnews.ca/kitchener/article/well-be-in-the-ground-in-2025-region-of-waterloo-says-kitchener-transit-hub-is-on-track/
Transit Infrastructure,Federal/Provincial/Regional Governments,KCTH Timeline,2025,Construction Start,2025,Scheduled,https://guelph.ctvnews.ca/kitchener/article/well-be-in-the-ground-in-2025-region-of-waterloo-says-kitchener-transit-hub-is-on-track/
Public Health,Region of Waterloo Public Health,Community Health Services,2024-2025,RSV Vaccine Distribution,"To LTC homes, hospitals, 60+ with risk factors",Current,https://pub-regionofwaterloo.escribemeetings.com/filestream.ashx?DocumentId=14681
Public Health,Region of Waterloo Public Health,Seasonal Illness Report,2024-2025,Immunization Clinic Focus,"Children under 5 without primary care provider",Current,https://pub-regionofwaterloo.escribemeetings.com/filestream.ashx?DocumentId=14681
Public Health,Immigration Waterloo Region,Community Action Plan,2020-2025,Immigrant Integration Focus,"Settlement, language support, community building",Active,https://www.immigrationwaterlooregion.ca/en/business-opportunities/resources/Governance/IP-Community-Action-Plan-2020-2025.pdf
Community Care,Ontario Health,Home Care Performance,2024-25,Complex Needs Personal Support Within 5 Days,87% (target 90%),Current,https://ontariohealth.ca/content/dam/ontariohealth/documents/annual-report-2024-25.pdf
